md,mean_auc,sd_auc
4,0.802431330197661,0.0147140159400975
5,0.842457199739124,0.0213741699232347
6,0.839585022811943,0.0203667497797106
7,0.836516233449643,0.0229716946899536
8,0.836840325467693,0.0225152301280506
9,0.834947988967164,0.0212477258665298
10,0.82919054599212,0.0174093436306454
11,0.834492828117367,0.0108806185489197
12,0.829246105848785,0.0130070851880235
13,0.830567739537646,0.0184446080049043
14,0.829065057033531,0.0193342566637139
15,0.827353989848183,0.0184885199535328
16,0.826817538025212,0.0171972563389689
17,0.822671980143247,0.023654908460705
18,0.818075438660105,0.0305504127791491
19,0.821066759047969,0.0256738344530273
20,0.820272671435019,0.0278923488159877
21,0.820425790259489,0.0281484899919564
22,0.819636694519891,0.0293285974153333
23,0.818400498427836,0.0286572279137161
24,0.818158279257768,0.0282948060579182
25,0.818158279257768,0.0282948060579182
26,0.818158279257768,0.0282948060579182
27,0.818158279257768,0.0282948060579182
28,0.817666221420147,0.0275766561765624
29,0.817705390782221,0.0276329020058024
30,0.817705390782221,0.0276329020058024
