md,ms,mean_auc,sd_auc
19,7,0.656720721407162,0.0644983540404639
21,177,0.840473527268736,0.0152661971254978
10,114,0.844868678818336,0.0201875933355499
22,121,0.840372875176951,0.0209964515645619
17,165,0.844625706273517,0.0139561755031285
9,87,0.841647916006188,0.0238611019533646
16,90,0.842539201212064,0.0174101443130551
16,42,0.83029851525149,0.0140613799930164
8,189,0.843376035185908,0.0192277472057433
14,128,0.847664336145769,0.0108503761132076
24,18,0.751269614081027,0.0409345957235968
18,78,0.836288499899795,0.0192343509023999
9,10,0.793590624490094,0.0254426656984559
28,194,0.841309062743009,0.0122528656336074
26,142,0.831457836493914,0.018793141044748
23,153,0.834270558065716,0.0221085556508319
25,62,0.82382460676288,0.0192171274853542
13,67,0.840982251225857,0.0130853101934742
29,111,0.837518019744054,0.0218727722026763
4,146,0.798949513846661,0.0166547122825218
12,168,0.852832388940312,0.00816639091389969
6,54,0.839817013235386,0.0204219347300997
13,33,0.817527330965981,0.0262137406832998
5,101,0.843706472701864,0.0218250847368421
27,34,0.802573901775612,0.0334407799216738
